using device: cuda
CIFAR100 dataset loaded successfully.
the size of train set is (2500, 32, 32, 3)
the size of train label is (2500,)
the size of test set is (500, 32, 32, 3)
the size of test label is (500,)
epoch:0,step:0,loss:0.663
epoch:0,step:1,loss:6.514
epoch:0,step:2,loss:2.138
epoch:0,step:3,loss:2.520
epoch:0,step:4,loss:1.372
epoch:0,step:5,loss:1.030
epoch:0,step:6,loss:0.600
epoch:0,step:7,loss:0.601
epoch:0,step:8,loss:0.601
epoch:0,step:9,loss:0.550
epoch:0,step:10,loss:0.516
epoch:0,step:11,loss:0.600
epoch:0,step:12,loss:0.567
epoch:0,step:13,loss:0.558
epoch:0,step:14,loss:0.557
epoch:0,step:15,loss:0.559
epoch:0,step:16,loss:0.587
epoch:0,step:17,loss:0.482
epoch:0,step:18,loss:0.488
epoch:0,step:19,loss:0.540
epoch:0,accuracy:26.400
epoch:1,step:0,loss:0.567
epoch:1,step:1,loss:0.489
epoch:1,step:2,loss:0.478
epoch:1,step:3,loss:0.481
epoch:1,step:4,loss:0.461
epoch:1,step:5,loss:0.463
epoch:1,step:6,loss:0.464
epoch:1,step:7,loss:0.431
epoch:1,step:8,loss:0.436
epoch:1,step:9,loss:0.434
epoch:1,step:10,loss:0.433
epoch:1,step:11,loss:0.386
epoch:1,step:12,loss:0.422
epoch:1,step:13,loss:0.386
epoch:1,step:14,loss:0.405
epoch:1,step:15,loss:0.410
epoch:1,step:16,loss:0.441
epoch:1,step:17,loss:0.427
epoch:1,step:18,loss:0.385
epoch:1,step:19,loss:0.360
epoch:1,accuracy:48.800
epoch:2,step:0,loss:0.455
epoch:2,step:1,loss:0.421
epoch:2,step:2,loss:0.368
epoch:2,step:3,loss:0.406
epoch:2,step:4,loss:0.398
epoch:2,step:5,loss:0.400
epoch:2,step:6,loss:0.454
epoch:2,step:7,loss:0.387
epoch:2,step:8,loss:0.401
epoch:2,step:9,loss:0.396
epoch:2,step:10,loss:0.426
epoch:2,step:11,loss:0.371
epoch:2,step:12,loss:0.476
epoch:2,step:13,loss:0.462
epoch:2,step:14,loss:0.399
epoch:2,step:15,loss:0.391
epoch:2,step:16,loss:0.362
epoch:2,step:17,loss:0.427
epoch:2,step:18,loss:0.441
epoch:2,step:19,loss:0.393
epoch:2,accuracy:49.400
epoch:3,step:0,loss:0.402
epoch:3,step:1,loss:0.393
epoch:3,step:2,loss:0.394
epoch:3,step:3,loss:0.399
epoch:3,step:4,loss:0.377
epoch:3,step:5,loss:0.385
epoch:3,step:6,loss:0.361
epoch:3,step:7,loss:0.360
epoch:3,step:8,loss:0.365
epoch:3,step:9,loss:0.379
epoch:3,step:10,loss:0.408
epoch:3,step:11,loss:0.382
epoch:3,step:12,loss:0.342
epoch:3,step:13,loss:0.394
epoch:3,step:14,loss:0.402
epoch:3,step:15,loss:0.357
epoch:3,step:16,loss:0.360
epoch:3,step:17,loss:0.355
epoch:3,step:18,loss:0.373
epoch:3,step:19,loss:0.364
epoch:3,accuracy:57.200
epoch:4,step:0,loss:0.354
epoch:4,step:1,loss:0.361
epoch:4,step:2,loss:0.365
