using device: cuda
CIFAR100 dataset loaded successfully.
the size of train set is (5000, 32, 32, 3)
the size of train label is (5000,)
the size of test set is (1000, 32, 32, 3)
the size of test label is (1000,)
epoch:0,step:0,loss:0.694
epoch:0,step:1,loss:2.527
epoch:0,step:2,loss:1.330
epoch:0,step:3,loss:0.760
epoch:0,step:4,loss:0.564
epoch:0,step:5,loss:0.522
epoch:0,step:6,loss:0.403
epoch:0,step:7,loss:0.424
epoch:0,step:8,loss:0.389
epoch:0,step:9,loss:0.355
epoch:0,step:10,loss:0.333
epoch:0,step:11,loss:0.333
epoch:0,step:12,loss:0.337
epoch:0,step:13,loss:0.329
epoch:0,step:14,loss:0.327
epoch:0,step:15,loss:0.325
epoch:0,step:16,loss:0.331
epoch:0,step:17,loss:0.320
epoch:0,step:18,loss:0.325
epoch:0,step:19,loss:0.321
epoch:0,step:20,loss:0.323
epoch:0,step:21,loss:0.309
epoch:0,step:22,loss:0.320
epoch:0,step:23,loss:0.336
epoch:0,step:24,loss:0.336
epoch:0,step:25,loss:0.317
epoch:0,step:26,loss:0.307
epoch:0,step:27,loss:0.309
epoch:0,step:28,loss:0.305
epoch:0,step:29,loss:0.306
epoch:0,step:30,loss:0.300
epoch:0,step:31,loss:0.306
epoch:0,step:32,loss:0.306
epoch:0,step:33,loss:0.300
epoch:0,step:34,loss:0.306
epoch:0,step:35,loss:0.309
epoch:0,step:36,loss:0.296
epoch:0,step:37,loss:0.316
epoch:0,step:38,loss:0.289
epoch:0,step:39,loss:0.354
epoch:0,accuracy:10.000
epoch:1,step:0,loss:0.621
epoch:1,step:1,loss:0.327
epoch:1,step:2,loss:0.304
epoch:1,step:3,loss:0.314
epoch:1,step:4,loss:0.315
epoch:1,step:5,loss:0.294
epoch:1,step:6,loss:0.303
epoch:1,step:7,loss:0.305
epoch:1,step:8,loss:0.319
epoch:1,step:9,loss:0.295
epoch:1,step:10,loss:0.298
epoch:1,step:11,loss:0.299
epoch:1,step:12,loss:0.316
epoch:1,step:13,loss:0.311
epoch:1,step:14,loss:0.301
epoch:1,step:15,loss:0.298
epoch:1,step:16,loss:0.306
epoch:1,step:17,loss:0.300
epoch:1,step:18,loss:0.304
epoch:1,step:19,loss:0.288
epoch:1,step:20,loss:0.287
epoch:1,step:21,loss:0.297
epoch:1,step:22,loss:0.303
epoch:1,step:23,loss:0.294
epoch:1,step:24,loss:0.279
epoch:1,step:25,loss:0.288
