using device: cuda
CIFAR100 dataset loaded successfully.
the size of train set is (10000, 32, 32, 3)
the size of train label is (10000,)
the size of test set is (2000, 32, 32, 3)
the size of test label is (2000,)
epoch:0,step:0,loss:0.814
epoch:0,step:1,loss:0.774
epoch:0,step:2,loss:0.538
epoch:0,step:3,loss:0.378
epoch:0,step:4,loss:0.303
epoch:0,step:5,loss:0.276
epoch:0,step:6,loss:0.292
epoch:0,step:7,loss:0.263
epoch:0,step:8,loss:0.233
epoch:0,step:9,loss:0.228
epoch:0,step:10,loss:0.233
epoch:0,step:11,loss:0.217
epoch:0,step:12,loss:0.206
epoch:0,step:13,loss:0.214
epoch:0,step:14,loss:0.208
epoch:0,step:15,loss:0.204
epoch:0,step:16,loss:0.196
epoch:0,step:17,loss:0.215
epoch:0,step:18,loss:0.203
epoch:0,step:19,loss:0.201
epoch:0,step:20,loss:0.206
epoch:0,step:21,loss:0.203
epoch:0,step:22,loss:0.196
epoch:0,step:23,loss:0.200
epoch:0,step:24,loss:0.199
epoch:0,step:25,loss:0.200
epoch:0,step:26,loss:0.202
epoch:0,step:27,loss:0.195
epoch:0,step:28,loss:0.202
epoch:0,step:29,loss:0.201
epoch:0,step:30,loss:0.203
epoch:0,step:31,loss:0.202
epoch:0,step:32,loss:0.198
epoch:0,step:33,loss:0.195
epoch:0,step:34,loss:0.195
epoch:0,step:35,loss:0.200
epoch:0,step:36,loss:0.199
epoch:0,step:37,loss:0.198
epoch:0,step:38,loss:0.198
epoch:0,step:39,loss:0.196
epoch:0,step:40,loss:0.200
epoch:0,step:41,loss:0.193
epoch:0,step:42,loss:0.200
epoch:0,step:43,loss:0.198
epoch:0,step:44,loss:0.195
epoch:0,step:45,loss:0.193
epoch:0,step:46,loss:0.196
epoch:0,step:47,loss:0.195
epoch:0,step:48,loss:0.193
epoch:0,step:49,loss:0.194
epoch:0,step:50,loss:0.195
epoch:0,step:51,loss:0.194
epoch:0,step:52,loss:0.197
epoch:0,step:53,loss:0.194
epoch:0,step:54,loss:0.193
epoch:0,step:55,loss:0.196
epoch:0,step:56,loss:0.197
epoch:0,step:57,loss:0.196
epoch:0,step:58,loss:0.193
epoch:0,step:59,loss:0.194
epoch:0,step:60,loss:0.200
epoch:0,step:61,loss:0.196
epoch:0,step:62,loss:0.191
epoch:0,step:63,loss:0.191
epoch:0,step:64,loss:0.187
epoch:0,step:65,loss:0.191
epoch:0,step:66,loss:0.191
epoch:0,step:67,loss:0.192
epoch:0,step:68,loss:0.187
epoch:0,step:69,loss:0.189
epoch:0,step:70,loss:0.187
epoch:0,step:71,loss:0.190
epoch:0,step:72,loss:0.186
epoch:0,step:73,loss:0.189
epoch:0,step:74,loss:0.191
epoch:0,step:75,loss:0.187
epoch:0,step:76,loss:0.188
epoch:0,step:77,loss:0.189
epoch:0,step:78,loss:0.217
epoch:0,accuracy:9.200
epoch:1,step:0,loss:0.209
epoch:1,step:1,loss:0.192
epoch:1,step:2,loss:0.195
